2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
"51,002.20","59,990.30","65,021.20","66,795.50","66,848.60","68,010.20","69,548.70","72,484.20","80,085.30","84,547.20","87,578.50","94,740.20","100,405.60","104,309.90","100,702.80","101,947.30","99,844.60","100,216.60","96,596.20","96,607.80","94,460.60","87,395.50","87,127.20","83,761.70","82,753.70","82,834.50","79,730.80","78,090.90","78,176.90","75,818.00","75,619.40"
"46,578.90","56,972.20","54,589.90","54,274.30","56,860.30","54,553.50","53,167.80","49,751.90","48,120.60","48,427.40","44,998.50","41,170.60","38,292.60","33,808.40","30,843.70","31,291.80","31,237.10","27,157.70","27,731.00","26,537.20","28,634.20","29,072.40","26,970.30","27,958.90","28,062.20","25,649.90","22,538.10","21,801.30","21,033.80","20,266.60","20,875.30"
"46,324.30","46,030.10","46,192.40","47,342.60","46,635.00","45,410.10","38,980.70","46,472.50","45,790.20","51,230.20","47,103.90","46,874.80","49,825.90","51,463.60","53,009.00","50,685.10","57,502.30","53,204.00","49,792.20","46,211.80","43,985.40","40,773.70","57,283.70","57,256.40","52,666.10","45,315.80","39,618.20","43,190.60","48,858.20","52,202.40","61,906.50"
"44,769.30","47,261.80","49,202.90","49,449.80","44,248.40","43,384.10","40,625.20","40,762.60","43,427.20","46,907.30","47,880.50","47,839.10","53,014.20","53,850.40","55,457.50","55,921.20","56,349.80","58,186.90","55,599.90","56,280.40","54,633.30","57,910.50","57,353.30","56,990.10","58,454.90","57,431.30","57,784.30","58,382.40","58,001.90","64,552.20","67,421.00"
"44,467.00","54,692.70","54,100.10","52,095.10","48,694.80","51,331.20","59,289.10","59,767.30","58,315.10","41,506.40","59,559.60","56,404.00","53,275.90","49,395.50","52,930.40","53,004.10","48,469.00","48,931.50","45,596.10","44,456.90","44,724.90","43,223.20","41,902.40","42,204.90","45,439.70","43,491.80","38,651.80","30,590.90","26,342.30","28,821.60","28,603.50"
"43,705.00","45,163.20","45,212.10","47,324.20","44,969.80","45,431.90","44,398.50","43,912.30","43,692.30","44,766.90","42,413.60","38,831.80","38,423.60","38,286.00","37,171.60","36,901.40","39,618.80","38,157.70","41,290.80","42,031.30","42,117.50","37,802.10","37,047.10","38,161.60","38,520.10","37,581.90","37,978.80","36,164.20","31,410.90","30,474.90","28,970.00"
"38,973.50","44,564.70","49,461.20","53,272.70","48,695.20","49,851.90","45,931.10","46,555.20","48,220.30","49,867.90","50,937.30","56,299.60","56,844.40","58,797.60","60,448.00","65,473.80","62,128.80","60,523.60","65,604.90","61,383.60","61,661.20","62,207.60","55,600.60","50,931.60","48,742.50","50,693.20","47,302.90","45,792.80","46,774.00","42,767.70","41,068.60"
"36,329.90","40,987.10","44,395.50","43,015.40","45,700.30","42,815.40","46,161.70","50,191.30","49,408.10","55,123.40","62,526.40","54,180.90","56,660.10","65,102.70","67,024.90","55,460.20","67,682.90","71,708.10","63,439.70","61,088.10","55,097.50","56,509.90","57,265.60","60,624.00","62,574.40","56,092.50","59,927.60","53,461.80","52,280.50","55,132.70","54,562.80"
"36,177.40","37,661.60","38,571.50","39,174.90","39,578.40","40,288.80","39,643.00","39,627.00","38,770.10","39,071.30","40,116.40","37,439.30","36,872.80","37,760.10","37,210.60","36,366.40","37,354.80","37,186.80","34,381.00","34,735.20","34,283.10","39,702.40","37,887.50","36,543.50","34,597.10","34,389.20","34,412.40","32,428.60","30,197.90","27,325.30","29,305.40"
"34,916.10","37,376.30","37,481.30","38,699.00","39,666.50","39,090.80","39,793.30","43,531.20","42,516.60","41,192.30","45,207.80","43,668.60","44,962.50","43,541.20","45,479.30","45,850.70","45,283.90","44,839.50","43,573.30","45,154.70","43,708.80","44,528.10","44,247.30","42,748.30","44,006.00","43,439.40","42,593.00","43,452.00","45,702.60","45,666.80","43,326.50"
